,,,,,"SnipedAgain#1736","Monsanto#1657","Joaquin#1259"
1,"Arcane Missiles",6,100.0%,,2,2,2
1,"Mana Wyrm",6,100.0%,,2,2,2
1,"Shooting Star",6,100.0%,,2,2,2
2,"Arcanologist",6,100.0%,,2,2,2
2,"Bloodmage Thalnos",1,33.3%,,,,1
2,"Flame Geyser",2,66.7%,,1,1,
2,"Frostbolt",6,100.0%,,2,2,2
2,"Primordial Glyph",6,100.0%,,2,2,2
2,"Sorcerer's Apprentice",6,100.0%,,2,2,2
3,"Arcane Intellect",5,83.3%,,2,2,1
3,"Cinderstorm",6,100.0%,,2,2,2
3,"Counterspell",4,66.7%,,1,1,2
3,"Explosive Runes",6,100.0%,,2,2,2
3,"Kirin Tor Mage",6,100.0%,,2,2,2
3,"Stargazer Luna",3,100.0%,,1,1,1
4,"Cosmic Anomaly",6,100.0%,,2,2,2
4,"Fireball",6,100.0%,,2,2,2
6,"Aluneth",3,100.0%,,1,1,1