,Warrior,Priest,Shaman,Warlock,Paladin,Rogue,Mage,Druid,Hunter,
Poland,AAECAQcKogKRA94F+QzTxQLPxwLD6gKS+AKe+AKggAMKS6IE/webwgKixwLK5wLi+AKD+wKO+wKe+wIA,AAECAa0GBpACxQT7DNPFApDTAuL4AgyhBOUE9geNCPIM0cECyccC6NACy+YC/OoCvfMC4/cCAA==,AAECAaoICvkD3gX/BdPFApziAqvnAsPqAqfuAu/3Apn7AgqBBPUE/gWyBvsMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCIoH+wfMCKDOAsLOApfTAsvsAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBq8E8wX1BZvCAp74AsyBAwxG+QqDxwK4xwLjywL70wLR4QLW5QK15gLi+AL2/QLW/gIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0ECNACxQTsB9PFAqDOAsLOApvTAqPrAgtNigHJA4jBApbHAtXhAtfhApbkArfxAsP4AuL4AgA=,AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA,AAECAR8C6dIChtMCDo0BqAK1A4cEyQSXCNsJ/gzd0gLf0gLj0gLh4wLq4wKH+wIA,
Portugal,AAECAQcMkQP8BN4FqgbRwwLPxwLD6gLN7wKS+AKe+ALi+AKggAMJS6ICogT/B5vCAtPFAsrnAoP7Ap77AgA=,AAECAa0GBIgF7QXWCvGAAw2KAfsB5QTRCtHBAtjBAvDPAujQAqniAqbwAoL3AqH+AtD+AgA=,AAECAaoICN4F+wzTxQKr5wLD6gKn7gLv9wKZ+wILgQT1BP4F/wWyBvYHl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GCqMBogLbBswI08UCoM4Cl9MC2OcC2+kCnPgCCooBtgebwgLnywLy0AKI0gLY5QLo5wLi+AKAigMA,AAECAZ8FCPIFjwm5wQKr0AK36QLZ/gLx/gKggAML+wHcA/QFzwb2B5vCAojHAqX1AuH+ApGAA8yBAwA=,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EAqLTAu72Ag5xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICCLQDxQTCzgKZ0wKb6ALi+ALk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8I+AjtCdPFAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
Romania,AAECAQcKogLMwwLTxQLPxwKa7gLN7wKd8AKS+AKe+AKggAMKS6IE/webwgKixwLK5wKD+wKO+wKe+wKz/AIA,AAECAa0GBogF7QXRCtMKpvACof4CDPsB5QT2B9HBAtLBAtjBAvDPAujQAqniAoL3AtD+AvGAAwA=,AAECAaoICt4F/wXTxQKc4gKr5wLD6gKn7gKe8ALv9wKZ+wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAfqUAwSvBJziAv3qAo+CAw0whAHOB8II9wybywL3zQKfzgLy0ALR4QKH6AL09wLT+AIA,AAECAZ8FBq8EpwXzBZXOAv3qAp74AgxG9QX5CuvCAoPHArjHAuPLAvvTAtHhAtblArXmAuL4AgA=,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gFmwWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAc2xAgSrBLgIotMC7vYCDXG7ApUDtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICCLQDmdMCm+gC/esCmu4C4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8IycIC08UC080ChtMCy+wCgPMC7/UC4vgCC40B+wGXCKvCAtjCApzNAt3SAovhAuHjArT2Arn4AgA=,
Russian Federation,AAECAQcKkQOTBN4F+QzTxQLN7wKd8AKS+AKe+AKggAMKS6ICogT/B5vCAqLHAsrnAoP7Ao77Ap77AgA=,AAECAa0GBIgF7QXRCvGAAw37AeUE9gfRwQLSwQLYwQLwzwLo0AKp4gKm8AKC9wKh/gLQ/gIA,AAECAaoICIEE08UCnOICq+cCw+oCp+4C7/cCmfsCC/UE3gX+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCqMB+waKB/sHoM4Cws4Cl9MC2OcCy+wCzfQCCooB8gW2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAaToAgq5wQKIxwKO0wK36QLL7AL9+wKE/ALZ/gLx/gKggAMKigHcA/QFzwb2B5vCAqvCAovhAuH+ApGAAwA=,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA80DiAXUBYYJl8EC/MEC2+MC9uwC4vgCAA==,AAECAY0WBKsEvwii0wLu9gINcbsClQO0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICCP4BtAOZ0wKb6AL96wKa7gLk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8G+AjTxQKG0wK26gKA8wK09gIMjQGXCKvCAtjCApzNAt3SAovhAuHjAsvsAvLxAu/1Arn4AgA=,
Singapore,AAECAQcKkQPeBfkM08UCz8cCmu4Cze8CkvgCnvgCoIADCkuiAqIE/webwgKixwLK5wKD+wKO+wKe+wIA,AAECAa0GBsUEkAfJxwKgzgKQ0wKO7gIMkAKhBOUE9geNCPIM0cEC6NACy+YC/OoCvfMC4vgCAA==,AAECAaoICN4F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCooH+wf4DObCAqDOAqbOAsLOApfTAsvsAs30AgryBfsGtgfhB40I58sC8dAC/dACiNIC2OUCAA==,AAECAZ8FAuvCAp74Ag5G8wX5CoPHArjHAuPLAvvTAtHhAtblArXmAv3qAuL4Avb9Atb+AgA=,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0ECNAC08UCoM4Cws4Cm9MC8tMCo+sCt/ECC02KAckD7AeIwQKWxwLV4QLX4QKW5ALD+ALi+AIA,AAECAZICBrQDxQTCzgKZ0wKb6AL1/AIMQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gLi+AIA,AAECAR8I+AjtCd3SAobTApziArbqAsvsAoDzAguNAZcIq8IC2MICnM0C080Ci+EC4eMC8vECufgC4vgCAA==,
Slovakia,AAECAQcKkQOqBvkM08UCz8cCze8CnfACkvgCnvgCoIADCkuiAqIE/webwgKixwLK5wKD+wKO+wKe+wIA,AAECAa0GBJACxQTWCpDTAg2hBOUE9geNCKUJ8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAfqUAwSvBJziAu/xAo+CAw0whAHOB8II9wybywL3zQKfzgLy0ALR4QKH6AL09wLT+AIA,AAECAZ8FBKcF+Qr96gKe+AINRvMF68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBAxxotMC7vYCDbsClQOrBLQE5gSWBewFwcECmMQCj9MC++wClf8Cuf8CAA==,AAECAZICCLQDmdMCm+gC/esCmu4Cv/IC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MC4vgCAA==,AAECAR8C6dIChtMCDo0BqAK1A4cEyQSXCNsJ/gzd0gLf0gLj0gLh4wLq4wKH+wIA,
Spain,AAECAQcIogKqBtPFAs/HAs3vApL4Ap74AqCAAwtLogT/B5vCAsrnArrsAp3wAuL4AoP7Ap77ArP8AgA=,AAECAa0GBsUEigfVCqDOApDTAuP3AgyQAqEE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICt4F/wXTxQKc4gKr5wLD6gKn7gKe8ALv9wKZ+wIKgQT1BP4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCvsGigf7B6DOAqbOAsLOApfTAsvsAs30AoCKAwqKAfIFtgfhB40I58sC8dAC/dACiNIC2OUCAA==,AAECAZ8FBq8EpwX5Cv3qAp74AuL4AgxG8wXrwgKDxwK4xwLjywL70wLR4QLW5QK15gL2/QLW/gIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBHHtBaLTAu72Ag27ApUDqwS0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICBrQDxQSZ0wKb6ALk+wL1/AIMQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gLi+AIA,AAECAR8I+AjTxQKG0wKc4gK26gLL7AKA8wLi+AILjQGXCO0Jq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA==,
Sweden,AAECAQcMogKRA94F+QzTxQLPxwK67ALN7wKd8AKS+AKe+AKggAMJS6IE/webwgKixwLK5wKD+wKO+wKe+wIA,AAECAa0GCJACxQTVCtYKkNMCvfMC4/cC4vgCC6EE5QT2B40I8gz7DNHBAsnHAujQAsvmAvzqAgA=,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBPMFnOIC7/ECj4IDDTCEAfcEzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA==,AAECAZ8FAq8EnvgCDkbzBfUF+QrrwgKDxwK4xwLjywKVzgL70wLR4QLW5QK15gLi+AIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0EBKsE7QWi0wLu9gINcbsClQO0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICCla0A8UEmdMCl+gCm+gCmu4Cv/IC4vgC9fwCCkBf6QHTA+QIoM0Ch84CmNICntIC29MCAA==,AAECAR8I+AjtCYbDAobTArbqAsvsAoDzArT2AguNAZcIq8IC2MICnM0C3dICi+EC4eMC8vEC4PUCufgCAA==,
Switzerland,AAECAQcK08UCz8cCw+oCuuwCmu4CnfACkvgCnvgCjvsCoIADCkuiAqIE3gX/B6LHAsrnAoP7Ap77ArP8AgA=,AAECAa0GBu0FpQmdxwLc9QLx+wKIggMM+wHlBPYH0gryDPsM0cEC2MECns4C8M8C6NACvfMCAA==,AAECAaoICP8F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GCooBigf7B/gMoM4Cws4Cl9MCy+wCzfQC8fcCCvIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FCvIF+gaWCbnBAsLOAvfQArfpAs30Auv3Av37AgrcA/QFzwaKB68H/gezwQKIxwKbywKW6AIA,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAf0ECsUE08UCoM4Cm9MC8tMCnOICo+sCpvACw/gC4vgCCk3JA+wH+wybwgKWxwKbywLb0wLX4QKW5AIA,AAECAZICCLQDmdMCm+gC/esCmu4C4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8G+AiG0wKc4gK26gKA8wLi+AIMjQGXCO0Jq8IC2MICnM0C3dICi+EC4eMCy+wC8vECufgCAA==,
Taiwan,AAECAQcEogTTwwKf0wL09QINS5EG/weyCPsMm8ICvsMCysMCm8sCzM0Cz+cCquwCm/MCAA==,AAECAa0GBMUE+wzTxQKQ0wINkAKhBOUE9geNCNUK8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICNPFApziAqvnAsPqAqfuAp7wAqbwAu/3AguBBN4F/gX/BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GCIoBigf4DKDOAsLOApfTAurmAs30AgvyBfsGtgfhB/sHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBKcF+QqD1AKe+AINRvMF68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBK8EnvgCx/gC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA=,AAECAf0ECNACxQTsB9PFAsLOApvTAqPrAr7sAgtNigH7AckDiMEClscC1+ECluQCt/ECw/gC4vgCAA==,AAECAZICCLQDxQTCzgKZ0wKb6ALi+ALk+wL1/AILQF/pAdMD5AigzQKHzgKY0gKe0gLb0wK/8gIA,AAECAR8K+AjtCdPFApvLAobTApziArbqAsvsAoDzAuL4AgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA==,
Thailand,AAECAQcMogKRA5ME3gX5DNPFAs/HAs3vApL4Ap74AuL4AqCAAwlLogT/B5vCAqLHAsrnAoP7Ao77Ap77AgA=,AAECAa0GCJACxQTVCvsM08UCoM4CkNMC4vgCC6EE5QT2B40I8gzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICN4F08UCnOICq+cCw+oCp+4C7/cCmfsCC4EE9QT+Bf8Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBJziAv3qAu/xAo+CAw0whAH3BM4Hwgj3DJvLAp/OAvLQAtHhAofoAvT3AtP4AgA=,AAECAZ8FBKcF8wXrwgKe+AINRvkKg8cCuMcC48sC+9MC0eEC1uUCteYC/eoC4vgC9v0C1v4CAA==,AAECAaIHBrICrwTzBf3qAp74Auf6AgyMAssD1AXdCIHCAp/CAuvCAtHhAovlAqbvAuL4Avr+AgA=,AAECAf0EBHG/wQKi0wLu9gINuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICAvcDmdMCDkBf/QLmBYUI5AigzQKHzgKY0gKe0gLb0wKE5gLX7wLi+AIA,AAECAR8K+AjtCdPFAtPNAobTApziArbqAsvsAoDzAuL4AgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA==,
Ukraine,AAECAYwWCqoG08UCoscCz8cCmu4Cze8CnfACkvgCnvgCoIADCkuiAqIE/webwgLK5wKD+wKO+wKe+wKz/AIA,AAECAa0GBpACxQTVCpDTAuP3AuL4AgyhBOUE9geNCPIM+wzRwQLJxwLo0ALL5gL86gK98wIA,AAECAaoICP8FnOICq+cCw+oCp+4CnvAC7/cCmfsCC4EE9QTeBf4Fsgb7DJfBAsfBApvLAvPnAu/xAgA=,AAECAf0GBvcE8wX3zQKc4gLv8QKPggMMMIQBzgfCCPcMm8sCn84C8tAC0eECh+gC9PcC0/gCAA==,AAECAZ8FAqcFnvgCDkbzBfkK68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHBIbCAoDTAs/hAsPqAg3EAZwC7QKfA4gF1AWGCZfBAvzBAsfTAtvjAvbsAuL4AgA=,AAECAY0WBnGrBL8IotMC7vYC74ADDLsClQO0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICApnTAoTmAg5AX/0C9wPmBYUI5AigzQKHzgKY0gKe0gLb0wLX7wLi+AIA,AAECAR8K+AjtCevCApvLAobTApziArbqAsvsAoDzAuL4AgqNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgCAA==,
United Kingdom,AAECAQcKkQPeBfkM08UCoscCz8cCze8CkvgCnvgCoIADCkuiBP8Hm8ICyucCuuwCnfACg/sCjvsCnvsCAA==,AAECAa0GBKUJ1gq/5QKX9gIN+ALlBPYH0QrSCvIM+wzRwQLYwQLOzAKl9QLl9wKR+wIA,AAECAaoICPkD/wWr5wLD6gKn7gKe8ALv9wKZ+wILgQT1BP4Fsgb2B/sMl8ECx8ECm8sC8+cC7/ECAA==,AAECAf0GBK8EnOIC/eoCj4IDDTCEAc4Hwgj3DJvLAvfNAp/OAvLQAtHhAofoAvT3AtP4AgA=,AAECAZ8FBq8EpwXzBf3qAp74AuL4AgxG9QX5CuvCAoPHArjHAuPLApXOAvvTAtHhAtblArXmAgA=,AAECAaIHBq8E8wWfwgL96gKe+ALn+gIMjALLA9QF9QXdCIHCAuvCAtHhAovlAqbvAsf4AuL4AgA=,AAECAf0ECNPFAqDOAsLOApvTAvLTAqPrAqbwArfxAgtNigHJA+wHm8IClscCm8sC1eEC1+ECluQC4vgCAA==,AAECAZICBlbtBZnTAv3rApruAuT7AgxAX+kBxAbkCKDNAofOApjSAp7SAtvTAr/yAuL4AgA=,AAECAR8I+AjtCYbTApziArbqAsvsAoDzAqCAAwuNAZcIq8IC2MICnM0C3dICi+EC4eMC8vECufgC4vgCAA==,
United States,AAECAQcKogKRA/kM08UCz8cCze8CkvgCnvgCjvsCoIADCkuiBP8Hm8ICoscCyucCuuwCnfACg/sCnvsCAA==,AAECAa0GCsUE5QTVCvsM08UCyccCoM4Cws4CkNMCju4CCpACoQT2B40I8gzRwQLo0ALL5gL86gK98wIA,AAECAaoICPPCAtPFAsLOAuvPApziAqfuAu/3Apn7Agv5A/UE3gX+BevCAsrDApvLAvvTAtHhAt/pAuL4AgA=,AAECAf0GBK8E8wWc4gLv8QINMIQBzgfCCPcMm8sC980Cn84C8tAC0eECh+gC9PcC0/gCAA==,AAECAZ8FCK8EpwXzBfUFlc4C/eoCnvgC4vgCC0b5CuvCAoPHArjHAuPLAvvTAtHhAtblArXmAtb+AgA=,AAECAaIHBK8E/eoCnvgC5/oCDYwCywPUBfMF9QXdCIHCAp/CAuvCAtHhAovlAqbvAuL4AgA=,AAECAf0EBHGWBqLTAu72Ag27ApUDqwS0BOYElgXsBcHBApjEAo/TAvvsApX/Arn/AgA=,AAECAZICAvcDmdMCDkBf/QLmBYUI5AigzQKHzgKY0gKe0gLb0wKE5gLX7wLi+AIA,AAECAR8K+wX4CO0J08UChtMCnOICtuoCy+wCgPMC4vgCCo0BlwirwgLYwgKczQLd0gKL4QLh4wLy8QK5+AIA,
Vietnam,AAECAQcKqgbTxQKixwLPxwKa7gLN7wKd8AKS+AKe+AKggAMKS6ICogT/B5vCAsrnAoP7Ao77Ap77ArP8AgA=,AAECAa0GBJACxQTWCpDTAg2hBOUE9geNCKUJ8gz7DNHBAsnHAujQAsvmAvzqAr3zAgA=,AAECAaoICNPFApziAqvnAsPqAqfuAp7wAu/3Apn7AguBBPUE/gX/BbIG+wyXwQLHwQKbywLz5wLv8QIA,AAECAf0GCIoH+wf4DKDOAsLOApfTAsvsAs30AguKAfIF+wa2B+EHjQjnywLx0AL90AKI0gLY5QIA,AAECAZ8FBKcF+Qr96gKe+AINRvMF68ICg8cCuMcC48sC+9MC0eEC1uUCteYC4vgC9v0C1v4CAA==,AAECAaIHAq8EnvgCDowCywPUBfMF9QXdCIHCAp/CAuvCAsrDAtHhAovlAqbvAuL4AgA=,AAECAf0EAqLTAu72Ag5xuwKVA6sEtATmBJYF7AXBwQKYxAKP0wL77AKV/wK5/wIA,AAECAZICCLQDmdMCm+gC/esCmu4C4vgC5PsC9fwCC0Bf6QHTA+QIoM0Ch84CmNICntIC29MCv/ICAA==,AAECAR8G+AjtCYbTApziArbqAoDzAgyNAZcIq8IC2MICnM0C3dICi+EC4eMCy+wC8vECufgC4vgCAA==,